municipio_ibge,municipio,uf
1100304,Vilhena,RO
1302900,Maués,AM
1500107,Abaetetuba,PA
1703701,Brejinho de Nazaré,TO
1713809,Palmeiras do Tocantins,TO
2303204,Caririaçu,CE
2411908,São Francisco do Oeste,RN
2805505,Poço Verde,SE
2805604,Porto da Folha,SE
2909901,Curaçá,BA
2913606,Ilhéus,BA
2918407,Juazeiro,BA
2919926,Madre de Deus,BA
2921708,Morro do Chapéu,BA
2930709,Simões Filho,BA
3113206,Carandaí,MG
3114105,Carmo de Minas,MG
3126109,Formiga,MG
3127701,Governador Valadares,MG
3128006,Guanhães,MG
3147105,Pará de Minas,MG
3152501,Pouso Alegre,MG
3154200,Resende Costa,MG
3170107,Uberaba,MG
3203353,Marilândia,ES
3203502,Montanha,ES
3205150,Vila Pavão,ES
3300407,Barra Mansa,RJ
3302270,Japeri,RJ
3304300,Rio Bonito,RJ
3304706,Santo Antônio de Pádua,RJ
3522109,Itanhaém,SP
3524709,Jaguariúna,SP
3554508,Tietê,SP
4204509,Corupá,SC
4209177,Jupiá,SC
4210902,Modelo,SC
4211876,Paial,SC
4215208,Romelândia,SC
4216354,São João do Itaperiú,SC
4216404,São João do Sul,SC
4303103,Cachoeirinha,RS
4304507,Canguçu,RS
4304705,Carazinho,RS
4313060,Nova Hartz,RS
4322202,Tupanciretã,RS
5007109,Ribas do Rio Pardo,MS
5108402,Várzea Grande,MT
5203203,Barro Alto,GO
5212709,Mambaí,GO
5220504,Serranópolis,GO
