orgao_cnpj,portfolio_hhi_abr,portfolio_hhi_norm_abr,portfolio_cr1_abr,portfolio_cr4_abr,count_hhi_abr,count_hhi_norm_abr,exposicao_strength_global_abr,exposicao_degree_global_abr,n_fornecedores_abr,n_instrumentos_abr,quadrante_abr,exposicao_oculta_abr,portfolio_hhi_mai,portfolio_hhi_norm_mai,portfolio_cr1_mai,portfolio_cr4_mai,count_hhi_mai,count_hhi_norm_mai,exposicao_strength_global_mai,exposicao_degree_global_mai,n_fornecedores_mai,n_instrumentos_mai,quadrante_mai,exposicao_oculta_mai,delta_hhi,delta_hhi_norm,delta_exposicao_strength,quadrante_estavel
00091238000170,0.3434430514204432,0.2121316617045318,0.4398615957410122,0.992549379759744,0.1875,0.025,0.7618769571576134,0.4104499849050219,6,8,baixo_baixo,False,0.3303067153054515,0.246595054718633,0.4312528860261833,0.9731237932327128,0.1239669421487603,0.0144628099173553,0.7928941512263508,0.5642852833004187,9,11,baixo_baixo,False,-0.013136336114991654,0.0344633930141012,0.031017194068737375,True
00118735000114,0.5567699556394303,0.4828982815793353,0.7344986675825111,0.9490164239062648,0.1428571428571428,0.0,0.5966588301571802,0.4744916674927288,7,7,hhi_alto,False,0.482405668049233,0.4084636206276949,0.67974016572561,0.8988048235642621,0.125,0.0,0.5645375633075265,0.4654146978313619,8,8,hhi_alto,False,-0.07436428759019731,-0.07443466095164036,-0.03212126684965377,True
00204125000133,0.2297493931862346,0.1704993465082526,0.4073749171375621,0.7475609300495831,0.0714285714285714,0.0,0.4619282765289749,0.51057442101681,14,14,baixo_baixo,False,0.4451703128319597,0.4187498515382435,0.6440097587962229,0.913850699856712,0.0486111111111111,0.0033068783068783,0.7796571592869536,0.5050952657728931,22,24,hhi_alto,False,0.21542091964572507,0.2482505050299909,0.31772888275797867,False
00444435000125,0.5445937318732879,0.4307421648416097,0.691357833531629,0.9917050331923096,0.2222222222222222,0.0277777777777778,0.8045413396257388,0.8837431127661843,5,6,hhi_alto,False,0.4826939633728737,0.3533674542160921,0.6474950739981422,0.9815493424962536,0.2244897959183673,0.0306122448979591,0.7820737897734923,0.8783439423991328,5,7,hhi_alto,False,-0.061899768500414176,-0.0773747106255176,-0.022467549852246527,True
00460408000146,0.4736639063521876,0.4078718946462111,0.6698533077077229,0.9136335801928844,0.1111111111111111,0.0,0.6188052975440784,0.4850657765832779,9,9,hhi_alto,False,0.157484917144023,0.1048277244655244,0.2576357188737003,0.7300150496831697,0.0661157024793388,0.0077479338842975,0.6126367342758027,0.5490923153217235,17,22,baixo_baixo,False,-0.31617898920816456,-0.3030441701806867,-0.006168563268275751,False
00536717000152,0.0903419516776423,0.0203682556528456,0.123563122361471,0.4598221496070459,0.0714285714285714,0.0,0.6493796060030529,0.5210052455913683,14,14,baixo_baixo,False,0.0903419516776423,0.0203682556528456,0.123563122361471,0.4598221496070459,0.0714285714285714,0.0,0.6415315856405838,0.5171079966975785,14,14,baixo_baixo,False,0.0,0.0,-0.007848020362469121,True
00569168000112,0.9811605689885692,0.9784692217012216,0.9905263642204334,0.9963079102094884,0.125,0.0,0.9801533211704068,0.9854104618239748,8,8,critico,False,0.9811605689885692,0.9784692217012216,0.9905263642204334,0.9963079102094884,0.125,0.0,0.979413456325601,0.9872684141500152,8,8,critico,False,0.0,0.0,-0.0007398648448058154,True
00955107000193,0.5000812459218454,0.4839548344999695,0.664345722984682,0.9391332560934617,0.04,0.0090322580645161,0.938329371188136,0.4193514491431537,32,45,critico,False,0.3182372040148773,0.3011931341152492,0.4431123393419284,0.9358906421394468,0.0327783558792924,0.0085978147762747,0.9493969393350832,0.4089851054170996,41,62,oculta,True,-0.18184404190696812,-0.18276170038472034,0.011067568146947204,False
00999472000108,0.0320399579993791,0.01780525149937,0.0605402638369923,0.2421610553479692,0.0144927536231884,0.0,0.8975464179676073,0.4982184066202975,69,69,baixo_baixo,False,0.0279491368162613,0.0153250996320569,0.0543194875348658,0.2172779501394634,0.0128205128205128,0.0,0.8895267040278789,0.5098980309332628,78,78,baixo_baixo,False,-0.0040908211831178,-0.0024801518673131014,-0.008019713939728335,True
01071994000108,0.1737828224387252,0.1420052386863685,0.2736810598291108,0.7285865693290069,0.037037037037037,0.0,0.8833728372594206,0.5916623247443235,27,27,baixo_baixo,False,0.1737828224387252,0.1420052386863685,0.2736810598291108,0.7285865693290069,0.037037037037037,0.0,0.8838852405670745,0.5901513689714607,27,27,baixo_baixo,False,0.0,0.0,0.000512403307653897,True
