municipio_ibge,municipio,uf
1100114,Jaru,RO
1100205,Porto Velho,RO
1300607,Benjamin Constant,AM
1501451,Belterra,PA
1501725,Brasil Novo,PA
1502400,Castanhal,PA
1505536,Parauapebas,PA
1716505,Pedro Afonso,TO
2100055,Açailândia,MA
2110856,São Francisco do Brejão,MA
2302206,Beberibe,CE
2302602,Camocim,CE
2306900,Jaguaribe,CE
2311355,Quixelô,CE
2313005,Solonópole,CE
2406007,José da Penha,RN
2407401,Martins,RN
2408102,Natal,RN
2412005,São Gonçalo do Amarante,RN
2503704,Cajazeiras,PB
2508901,Mamanguape,PB
2513703,Santa Rita,PB
2514453,São José dos Ramos,PB
2600401,Água Preta,PE
2609105,Machados,PE
2803500,Lagarto,SE
2804805,Nossa Senhora do Socorro,SE
2805406,Poço Redondo,SE
2908903,Coração de Maria,BA
2927408,Salvador,BA
3101102,Aimorés,MG
3114204,Carmo do Cajuru,MG
3130309,Iguatama,MG
3135076,Jampruca,MG
3143906,Muriaé,MG
3145604,Oliveira,MG
3151206,Pirapora,MG
3151503,Piumhi,MG
3152105,Ponte Nova,MG
3154002,Raul Soares,MG
3156908,Sacramento,MG
3169406,Três Pontas,MG
3170701,Varginha,MG
3200706,Atílio Vivácqua,ES
3201001,Boa Esperança,ES
3201308,Cariacica,ES
3202306,Guaçuí,ES
3204500,Santa Leopoldina,ES
3204906,São Mateus,ES
3300704,Cabo Frio,RJ
3301876,Iguaba Grande,RJ
3302205,Itaperuna,RJ
3302403,Macaé,RJ
3304151,Quissamã,RJ
3304904,São Gonçalo,RJ
3501905,Amparo,SP
3502705,Apiaí,SP
3506359,Bertioga,SP
3511508,Cerquilho,SP
3514106,Dois Córregos,SP
3516309,Francisco Morato,SP
3522307,Itapetininga,SP
3522604,Itapira,SP
3523503,Itatinga,SP
3527306,Louveira,SP
3531100,Mongaguá,SP
3535804,Paranapanema,SP
3543402,Ribeirão Preto,SP
3548708,São Bernardo do Campo,SP
4103800,Cambira,PR
4105508,Cianorte,PR
4112603,Jardim Olinda,PR
4113601,Lobato,PR
4117701,Palmeira,PR
4122404,Rolândia,PR
4128203,União da Vitória,PR
4201000,Anita Garibaldi,SC
4201505,Armazém,SC
4203253,Capão Alto,SC
4203808,Canoinhas,SC
4206900,Ibirama,SC
4208104,Itaiópolis,SC
4211454,Nova Itaberaba,SC
4211900,Palhoça,SC
4212700,Petrolândia,SC
4213401,Ponte Serrada,SC
4215653,Santa Rosa do Sul,SC
4216305,São João Batista,SC
4218004,Tijucas,SC
4218608,Trombudo Central,SC
4303905,Campo Bom,RS
4312153,Mato Leitão,RS
4318705,São Leopoldo,RS
5001003,Aparecida do Taboado,MS
5002209,Bonito,MS
5002308,Brasilândia,MS
5007901,Sidrolândia,MS
5201306,Anicuns,GO
5203962,Buritinópolis,GO
5205109,Catalão,GO
5205703,Córrego do Ouro,GO
5206503,Cromínia,GO
5207253,Doverlândia,GO
5208004,Formosa,GO
5208905,Goiás,GO
5210208,Iporá,GO
5212303,Leopoldo de Bulhões,GO
5215900,Palminópolis,GO
5220603,Silvânia,GO
5221452,Trombas,GO
