municipio_ibge,municipio,uf
1100122,Ji-Paraná,RO
1100130,Machadinho D'Oeste,RO
1200500,Sena Madureira,AC
1503457,Ipixuna do Pará,PA
2306108,Irauçuba,CE
2309458,Ocara,CE
2401008,Apodi,RN
2503209,Cabedelo,PB
2510600,Ouro Velho,PB
2604106,Caruaru,PE
2612406,Sanharó,PE
2701407,Campo Alegre,AL
2704203,Limoeiro de Anadia,AL
2800209,Aquidabã,SE
2801009,Campo do Brito,SE
2805802,Riachão do Dantas,SE
2807105,Simão Dias,SE
2807204,Siriri,SE
2807501,Tomar do Geru,SE
2918753,Lagoa Real,BA
3110103,Caiana,MG
3132503,Itamarandiba,MG
3132701,Itambacuri,MG
3148004,Patos de Minas,MG
3154150,Reduto,MG
3170529,Urucuia,MG
3201209,Cachoeiro de Itapemirim,ES
3202454,Ibatiba,ES
3301009,Campos dos Goytacazes,RJ
3301306,Casimiro de Abreu,RJ
3302601,Mangaratiba,RJ
3303609,Paracambi,RJ
3305208,São Pedro da Aldeia,RJ
3305703,Sumidouro,RJ
3504107,Atibaia,SP
3505500,Barretos,SP
3506102,Bebedouro,SP
3512209,Conchal,SP
3522208,Itapecerica da Serra,SP
3538600,Piracaia,SP
3549706,São José do Rio Pardo,SP
3553708,Taquaritinga,SP
3556701,Vinhedo,SP
3557006,Votorantim,SP
4101101,Andirá,PR
4115200,Maringá,PR
4201273,Arabutã,SC
4202875,Brunópolis,SC
4204178,Cerro Negro,SC
4214003,Presidente Getúlio,SC
4215059,Rio Rufino,SC
4217550,Serra Alta,SC
4217709,Sombrio,SC
4310207,Ijuí,RS
5002407,Caarapó,MS
5003454,Deodápolis,MS
5006002,Nova Alvorada do Sul,MS
5105259,Lucas do Rio Verde,MT
5200100,Abadiânia,GO
5207105,Diorama,GO
5209952,Indiara,GO
5212055,Jesúpolis,GO
5215504,Ouvidor,GO
