municipio_ibge,municipio,uf
1300631,Beruri,AM
1501402,Belém,PA
1505304,Oriximiná,PA
2101707,Barreirinhas,MA
2300754,Amontada,CE
2308708,Morada Nova,CE
2309706,Pacatuba,CE
2314003,Várzea Alegre,CE
2403608,Extremoz,RN
2405702,Jardim do Seridó,RN
2413805,Taboleiro Grande,RN
2602209,Bom Jardim,PE
2612471,Santa Cruz da Baixa Verde,PE
2615003,Taquaritinga do Norte,PE
2615904,Tuparetama,PE
2704302,Maceió,AL
2803203,Itaporanga d'Ajuda,SE
2904902,Cachoeira,BA
2914703,Itaberaba,BA
2918001,Jequié,BA
3100302,Abre Campo,MG
3107307,Bocaiúva,MG
3110608,Cambuí,MG
3117306,Conceição das Alagoas,MG
3124708,Estrela do Indaiá,MG
3133709,Itatiaiuçu,MG
3134202,Ituiutaba,MG
3135100,Janaúba,MG
3140001,Mariana,MG
3143302,Montes Claros,MG
3147600,Passa Quatro,MG
3147907,Passos,MG
3162500,São João del Rei,MG
3169356,Três Marias,MG
3201407,Castelo,ES
3202405,Guarapari,ES
3202652,Irupi,ES
3203007,Iúna,ES
3203700,Muniz Freire,ES
3203908,Nova Venécia,ES
3300100,Angra dos Reis,RJ
3300803,Cachoeiras de Macacu,RJ
3303302,Niterói,RJ
3304201,Resende,RJ
3305505,Saquarema,RJ
3306008,Três Rios,RJ
3306107,Valença,RJ
3501608,Americana,SP
3510005,Cândido Mota,SP
3510500,Caraguatatuba,SP
3511102,Catanduva,SP
3516200,Franca,SP
3518701,Guarujá,SP
3520442,Ilha Solteira,SP
3524303,Jaboticabal,SP
3530706,Mogi Guaçu,SP
3530805,Mogi Mirim,SP
3533908,Olímpia,SP
3540002,Pompéia,SP
3540606,Porto Feliz,SP
3551009,São Vicente,SP
4101408,Apucarana,PR
4104303,Campo Mourão,PR
4114906,Marilândia do Sul,PR
4203501,Campo Erê,SC
4204103,Caxambu do Sul,SC
4205159,Doutor Pedrinho,SC
4205605,Galvão,SC
4206405,Guaraciaba,SC
4207007,Içara,SC
4210100,Mafra,SC
4213500,Porto Belo,SC
4217956,Tigrinhos,SC
4309100,Gramado,RS
4310579,Itapuca,RS
4314902,Porto Alegre,RS
5000203,Água Clara,MS
5001904,Bataguassu,MS
5002100,Bela Vista,MS
5002951,Chapadão do Sul,MS
5003306,Coxim,MS
5006200,Nova Andradina,MS
5006606,Ponta Porã,MS
5007695,São Gabriel do Oeste,MS
5107958,Tangará da Serra,MT
5201108,Anápolis,GO
5201405,Aparecida de Goiânia,GO
5203500,Bom Jesus de Goiás,GO
5203575,Bonópolis,GO
5203906,Buriti Alegre,GO
5206800,Damolândia,GO
5207907,Flores de Goiás,GO
5208608,Goianésia,GO
5209101,Goiatuba,GO
5211404,Itauçu,GO
5214507,Nerópolis,GO
5214606,Niquelândia,GO
5221304,Três Ranchos,GO
